time,field_x,field_y,field_z
267462000000,-13.5,-7.5,0.0
267471000000,-13.5,-7.5,0.0
267523000000,-15.0,-7.5,0.0
267568000000,-15.5,-7.5,0.0
267574000000,-15.5,-7.5,0.0
267583000000,-15.5,-7.5,0.0
267626000000,-15.5,-7.5,0.0
267673000000,-15.0,-7.5,0.0
267723000000,-14.0,-7.5,0.0
267766000000,-13.0,-7.5,0.0
267773000000,-13.0,-7.5,0.0
267783000000,-12.0,-8.0,0.0
267823000000,-11.0,-8.0,0.0
267864000000,-10.5,-8.0,0.0
267906000000,-9.5,-8.0,0.0
267912000000,-9.5,-8.0,0.0
267922000000,-8.5,-8.0,0.0
267964000000,-7.0,-7.5,0.0
268003000000,-5.5,-7.5,0.0
268050000000,-4.0,-7.5,0.0
268099000000,-1.0,-7.5,0.0
268154000000,1.5,-8.0,0.0
268205000000,2.0,-8.0,0.0
268214000000,2.0,-8.0,0.0
268222000000,2.5,-8.0,0.0
268251000000,2.5,-8.0,0.0
268300000000,2.5,-8.0,0.0
268347000000,2.0,-8.0,0.0
268349000000,1.5,-8.0,0.0
268361000000,1.5,-8.0,0.0
268400000000,1.0,-8.0,0.0
268444000000,0.0,-8.0,0.0
268486000000,-2.0,-8.0,0.0
268494000000,-2.0,-8.0,0.0
268502000000,-2.0,-8.0,0.0
268536000000,-3.0,-8.0,0.0
268584000000,-5.0,-8.0,0.0
268624000000,-6.0,-8.0,0.0
268667000000,-7.0,-8.0,0.0
268675000000,-7.0,-8.0,0.0
268679000000,-7.0,-8.0,0.0
268729000000,-8.5,-8.0,0.0
268780000000,-9.5,-8.0,0.0
268824000000,-10.0,-8.0,0.0
268869000000,-10.0,-8.0,0.0
268881000000,-10.0,-8.0,0.0
268888000000,-10.0,-8.0,0.0
268930000000,-10.0,-8.0,0.0
268976000000,-10.0,-8.0,0.0
269024000000,-9.0,-8.0,0.0
269032000000,-9.0,-8.0,0.0
269075000000,-9.0,-8.0,0.0
269113000000,-8.5,-8.0,0.0
269152000000,-8.0,-8.0,0.0
269199000000,-7.0,-8.0,0.0
269200000000,-7.0,-8.0,0.0
269209000000,-7.0,-8.0,0.0
269249000000,-6.0,-8.0,0.0
269299000000,-6.0,-8.0,0.0
269342000000,-6.0,-8.0,0.0
269399000000,-5.0,-8.0,0.0
269438000000,-5.0,-8.0,0.0
269479000000,-5.0,-8.0,0.0
269484000000,-5.0,-8.0,0.0
269493000000,-5.0,-8.0,0.0
269535000000,-5.0,-8.0,0.0
269578000000,-5.0,-8.0,0.0
269623000000,-5.0,-8.5,0.0
269668000000,-5.5,-8.5,0.0
269668000000,-5.5,-8.5,0.0
269683000000,-6.0,-8.5,0.0
269722000000,-6.0,-8.5,0.0
269773000000,-6.0,-8.5,0.0
269811000000,-6.5,-8.5,0.0
269816000000,-7.0,-8.5,0.0
269822000000,-7.0,-8.5,0.0
269875000000,-7.0,-8.5,0.0
269914000000,-7.0,-8.5,0.0
269965000000,-7.5,-9.0,0.0
270000000000,-7.5,-9.0,0.0
270012000000,-7.5,-9.0,0.0
270024000000,-7.5,-9.0,0.0
270061000000,-8.0,-9.0,0.0
270107000000,-8.0,-9.0,0.0
270150000000,-8.0,-9.0,0.0
270150000000,-8.0,-9.0,0.0
270160000000,-8.0,-9.0,0.0
270199000000,-8.0,-9.0,0.0
270241000000,-7.5,-9.0,0.0
270283000000,-7.5,-9.0,0.0
270326000000,-7.5,-9.0,0.0
270335000000,-7.5,-9.0,0.0
270343000000,-7.5,-9.0,0.0
270392000000,-7.5,-9.0,0.0
270428000000,-7.5,-9.0,0.0
270474000000,-7.0,-9.0,0.0
270518000000,-7.0,-9.0,0.0
270521000000,-7.0,-9.0,0.0
270532000000,-7.0,-9.0,0.0
270575000000,-7.0,-9.0,0.0
270626000000,-7.0,-9.0,0.0
270666000000,-7.0,-9.0,0.0
270671000000,-7.0,-9.0,0.0
270683000000,-7.0,-9.0,0.0
270731000000,-7.0,-9.0,0.0
270783000000,-7.0,-9.0,0.0
270828000000,-7.0,-9.5,0.0
270833000000,-7.0,-9.5,0.0
270844000000,-7.0,-9.5,0.0
270882000000,-7.5,-9.5,0.0
270925000000,-7.5,-9.5,0.0
270975000000,-7.5,-9.5,0.0
271017000000,-7.5,-9.5,0.0
271021000000,-7.5,-9.5,0.0
271033000000,-7.5,-9.5,0.0
271067000000,-7.5,-9.5,0.0
271120000000,-7.5,-9.5,0.0
271163000000,-7.5,-9.5,0.0
271205000000,-7.5,-9.5,0.0
271212000000,-7.5,-9.5,0.0
271220000000,-7.5,-9.5,0.0
271261000000,-7.5,-9.5,0.0
271296000000,-7.5,-9.5,0.0
271303000000,-7.5,-9.5,0.0
271314000000,-7.5,-9.5,0.0
271351000000,-7.5,-9.5,0.0
271390000000,-7.5,-9.5,0.0
271435000000,-7.5,-9.5,0.0
271484000000,-7.5,-9.5,0.0
271527000000,-7.5,-9.5,0.0
271529000000,-7.5,-9.5,0.0
271543000000,-7.5,-9.5,0.0
271586000000,-7.5,-9.5,0.0
271632000000,-7.5,-9.5,0.0
271668000000,-7.5,-9.5,0.0
271673000000,-7.5,-9.5,0.0
271684000000,-7.5,-9.5,0.0
271716000000,-7.5,-9.5,0.0
271763000000,-8.0,-9.5,0.0
271799000000,-8.0,-9.5,0.0
271851000000,-8.0,-9.5,0.0
271896000000,-8.0,-10.0,0.0
271897000000,-8.0,-10.0,0.0
271908000000,-8.0,-10.0,0.0
271940000000,-8.0,-10.0,0.0
271981000000,-8.0,-10.0,0.0
272022000000,-8.0,-10.0,0.0
272028000000,-8.0,-10.0,0.0
272041000000,-8.0,-10.0,0.0
272094000000,-8.0,-10.0,0.0
272112000000,-8.0,-10.0,0.0
272124000000,-8.0,-10.0,0.0
272130000000,-8.0,-10.0,0.0
272184000000,-8.0,-10.0,0.0
272227000000,-8.0,-10.0,0.0
