%time,field.header.seq,field.header.stamp,field.header.frame_id,field.radiation_type,field.field_of_view,field.min_range,field.max_range,field_range
713000000000,7128,713000000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9665964841842651
713100000000,7129,713100000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9556189179420471
713200000000,7130,713200000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9525690674781799
713300000000,7131,713300000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9628571271896362
713400000000,7132,713400000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9576283693313599
713499000000,7133,713500000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9934384226799011
713600000000,7134,713600000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0096839666366577
713700000000,7135,713700000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0097233057022095
713800000000,7136,713800000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9983478784561157
713900000000,7137,713900000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9938448071479797
714000000000,7138,714000000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0085934400558472
714101000000,7139,714100000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.013329029083252
714200000000,7140,714200000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0213721990585327
714300000000,7141,714300000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9976779222488403
714400000000,7142,714400000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9881766438484192
714500000000,7143,714500000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9691613912582397
714600000000,7144,714600000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9502394795417786
714700000000,7145,714700000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.929194450378418
714799000000,7146,714800000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9131450057029724
714899000000,7147,714900000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.899103045463562
715001000000,7148,715000000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.8931100368499756
715100000000,7149,715100000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.8805685639381409
715202000000,7150,715200000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.8824096322059631
715300000000,7151,715300000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.8763509392738342
715400000000,7152,715400000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.8654216527938843
715500000000,7153,715500000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.8506579399108887
715599000000,7154,715600000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.8439422249794006
715699000000,7155,715700000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.8470895290374756
715800000000,7156,715800000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.8292526006698608
715899000000,7157,715900000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.8341062068939209
716000000000,7158,716000000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.818596363067627
716100000000,7159,716100000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.8096229434013367
716200000000,7160,716200000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.7984031438827515
716300000000,7161,716300000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.8002358675003052
716400000000,7162,716400000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.7954006195068359
716507000000,7163,716500000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.7828275561332703
716600000000,7164,716600000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.7569305896759033
716700000000,7165,716700000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.7453378438949585
716806000000,7166,716800000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.7337243556976318
716900000000,7167,716900000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.7268698811531067
717000000000,7168,717000000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.7257687449455261
717100000000,7169,717100000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.7194980382919312
717200000000,7170,717200000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.7072265148162842
717300000000,7171,717300000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.6878536939620972
717400000000,7172,717400000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.6897956728935242
717500000000,7173,717500000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.6781702637672424
717600000000,7174,717600000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.6829646229743958
717700000000,7175,717700000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.6841989755630493
717800000000,7176,717800000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.6835465431213379
717900000000,7177,717900000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.6871358156204224
718000000000,7178,718000000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.6871285438537598
718101000000,7179,718100000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.7073796987533569
718200000000,7180,718200000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.7255892157554626
718300000000,7181,718300000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.7358208894729614
718400000000,7182,718400000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.7561931610107422
718500000000,7183,718500000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.7690551280975342
718600000000,7184,718600000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.7897422909736633
718700000000,7185,718700000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.8065187931060791
718800000000,7186,718800000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.8306922912597656
718900000000,7187,718900000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.8470686078071594
719001000000,7188,719000000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.8650645017623901
719100000000,7189,719100000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.8862476944923401
719200000000,7190,719200000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9147228598594666
719300000000,7191,719300000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9212495684623718
719400000000,7192,719400000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9383080005645752
719500000000,7193,719500000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9447402954101562
719600000000,7194,719600000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9428343176841736
719700000000,7195,719700000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9417725205421448
719800000000,7196,719800000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9613099098205566
719901000000,7197,719900000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.977591872215271
720000000000,7198,720000000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0017989873886108
720100000000,7199,720100000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0109978914260864
720201000000,7200,720200000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0170401334762573
720300000000,7201,720300000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0214691162109375
720400000000,7202,720400000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0172863006591797
720500000000,7203,720500000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0088027715682983
720600000000,7204,720600000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9950621724128723
720700000000,7205,720700000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9914001822471619
720800000000,7206,720800000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9894360303878784
720900000000,7207,720900000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9807564616203308
721000000000,7208,721000000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9886343479156494
721100000000,7209,721100000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0019598007202148
721200000000,7210,721200000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0051463842391968
721300000000,7211,721300000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0159125328063965
721400000000,7212,721400000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0223554372787476
721500000000,7213,721500000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.027232050895691
721601000000,7214,721600000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.030810832977295
721703000000,7215,721700000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.026345133781433
721800000000,7216,721800000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0333054065704346
721900000000,7217,721900000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0243288278579712
722002000000,7218,722000000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.019204020500183
722100000000,7219,722100000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.008643388748169
722200000000,7220,722200000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0097030401229858
722300000000,7221,722300000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9996203780174255
722400000000,7222,722400000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9899435639381409
722499000000,7223,722500000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9938384294509888
722600000000,7224,722600000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9975417256355286
722694000000,7225,722700000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.995808482170105
722800000000,7226,722800000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0025345087051392
722900000000,7227,722900000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0065126419067383
723000000000,7228,723000000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0062236785888672
723103000000,7229,723100000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9979538321495056
723201000000,7230,723200000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0100291967391968
723301000000,7231,723300000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9992976188659668
723400000000,7232,723400000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9556134939193726
723500000000,7233,723500000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9605249166488647
723601000000,7234,723600000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9616094827651978
723700000000,7235,723700000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9968717694282532
723800000000,7236,723800000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0350871086120605
723901000000,7237,723900000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0751502513885498
724005000000,7238,724000000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.155394196510315
724100000000,7239,724100000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.2222132682800293
724200000000,7240,724200000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.280735969543457
724299000000,7241,724300000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.3244881629943848
